STATION,NAME,DATE,PRCP,MONTH,YEAR
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-01,0.61,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-02,0.01,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-03,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-04,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-05,0.02,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-06,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-07,0.02,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-08,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-10,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-11,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-12,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-13,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-14,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-15,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-16,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-17,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-18,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-19,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-20,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-21,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-22,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-23,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-24,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-25,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-26,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-27,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-28,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-29,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-01-30,0.0,1,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-01,0.05,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-02,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-03,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-04,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-05,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-06,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-07,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-08,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-09,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-10,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-11,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-12,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-13,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-14,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-15,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-16,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-17,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-18,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-19,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-20,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-21,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-22,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-23,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-24,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-25,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-26,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-27,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-02-28,0.0,2,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-01,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-03,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-04,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-05,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-07,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-08,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-09,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-10,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-11,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-12,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-13,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-14,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-15,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-16,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-17,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-18,0.0,3,1991
