YEAR,MONTH,PRCP
1991,1,0.66
1991,2,0.05
1991,3,0.24
1991,4,0.0
1991,5,0.44
1991,6,7.07
1991,7,8.600000000000001
1991,8,4.3100000000000005
1991,9,4.6899999999999995
1991,10,4.52
1991,11,15.68
1991,12,0.08
1992,1,1.72
1992,2,0.0
1992,3,4.21
1992,4,0.0
1992,5,0.73
1992,6,0.07
1992,7,2.91
1992,8,4.02
1992,9,1.76
1992,10,3.5700000000000003
1992,11,16.72
1992,12,5.73
1993,1,0.0
1993,2,0.03
1993,3,0.0
1993,4,0.0
1993,5,0.76
1993,6,2.7800000000000002
1993,7,3.62
1993,8,8.870000000000001
1993,9,2.2600000000000002
1993,10,20.02
1993,11,17.82
1993,12,9.63
1994,1,0.03
1994,2,1.03
1994,3,1.97
1994,4,0.04
1994,5,2.15
1994,6,1.8299999999999998
1994,7,1.8499999999999999
1994,8,6.2
1994,9,1.21
1994,10,13.879999999999999
1994,11,19.18
1994,12,8.58
1995,1,4.51
1995,2,0.0
1995,3,0.46
1995,4,0.0
1995,5,9.9
1995,6,0.14
1995,7,5.63
1995,8,12.26
1995,9,7.3500000000000005
1995,10,7.39
1995,11,8.52
1995,12,1.35
1996,1,0.0
1996,2,0.0
1996,3,0.0
1996,4,1.15
1996,5,0.85
1996,6,19.62
1996,7,2.8699999999999997
1996,8,2.45
1996,9,4.75
1996,10,13.22
1996,11,13.77
1996,12,14.709999999999999
1997,1,0.8400000000000001
1997,2,0.0
1997,3,0.0
1997,4,0.8
1997,5,0.0
1997,6,1.89
1997,7,1.13
1997,8,2.13
1997,9,2.92
1997,10,7.26
1997,11,31.09
1997,12,13.93
1998,1,0.0
1998,2,0.0
1998,3,0.0
1998,4,0.0
1998,5,1.3
1998,6,0.74
1998,7,3.5
1998,8,4.24
1998,9,2.36
1998,10,3.98
1998,11,16.3
1998,12,10.75
1999,1,0.23
1999,2,0.0
1999,4,3.54
1999,5,0.02
1999,6,4.03
1999,7,1.08
1999,8,6.26
1999,9,4.16
1999,10,12.81
1999,11,5.36
1999,12,3.0599999999999996
2000,1,0.02
2000,2,8.09
2000,3,0.03
2000,4,0.48
2000,5,0.3
2000,6,2.35
2000,7,4.89
2000,8,1.85
2000,9,5.8100000000000005
2000,10,10.57
2000,11,4.79
2000,12,1.88
2001,1,0.02
2001,4,3.8899999999999997
2001,5,0.21999999999999997
2001,6,0.84
2001,7,6.98
2001,8,1.0899999999999999
2001,9,5.65
2001,10,15.530000000000001
2001,11,9.58
2001,12,9.6
2002,1,3.6
2002,2,0.07
2002,5,0.0
2002,6,0.21
2002,7,0.8099999999999999
2002,8,6.13
2002,9,4.68
2002,10,13.25
2002,11,17.45
2002,12,0.0
2003,1,0.04
2003,2,0.0
2003,3,0.59
2003,4,0.0
2003,5,0.02
2003,6,2.0599999999999996
2003,7,7.34
2003,8,6.46
2003,9,3.81
2003,10,8.58
2003,11,2.78
2003,12,1.58
2004,1,0.9500000000000001
2004,2,0.0
2004,3,0.0
2004,4,0.12
2004,5,6.21
2004,6,2.29
2004,7,1.77
2004,8,8.219999999999999
2004,9,9.37
2004,10,12.33
2004,11,9.21
2004,12,0.56
2005,1,0.01
2005,2,0.24000000000000002
2005,3,0.08
2005,4,6.42
2005,5,2.07
2005,6,0.31
2005,7,3.47
2005,8,2.46
2005,9,1.6099999999999999
2005,10,29.130000000000003
2005,11,21.27
2005,12,15.94
2006,1,0.060000000000000005
2006,3,0.6699999999999999
2006,5,0.59
2006,6,1.81
2006,7,2.98
2006,8,5.199999999999999
2006,9,4.8999999999999995
2006,10,25.96
2006,11,10.89
2006,12,0.79
2007,1,0.0
2007,2,0.89
2007,4,0.41000000000000003
2007,5,0.15
2007,6,4.13
2007,7,7.4
2007,8,8.42
2007,9,4.859999999999999
2007,10,8.86
2007,11,4.1499999999999995
2007,12,8.959999999999999
2008,1,0.0
2008,2,0.44000000000000006
2008,3,6.84
2008,5,0.0
2008,6,2.17
2008,7,1.55
2008,8,3.41
2008,9,2.91
2008,10,17.88
2008,11,27.71
2008,12,0.3
2009,1,1.3800000000000001
2009,3,0.08
2009,5,1.57
2009,6,0.33
2009,7,2.51
2009,8,3.87
2009,9,6.41
2009,10,1.71
2009,11,25.47
2009,12,8.43
2010,1,0.18
2010,2,0.0
2010,5,6.58
2010,6,4.11
2010,7,4.42
2010,8,6.77
2010,9,5.83
2010,10,5.72
2010,11,10.01
2010,12,9.76
2011,1,0.75
2011,2,1.3
2011,4,1.19
2011,5,0.98
2011,6,0.44
2011,7,5.94
2011,8,7.58
2011,9,6.01
2011,10,9.36
2011,11,18.93
2011,12,8.08
2012,1,1.12
2012,2,0.0
2012,4,0.08
2012,6,1.81
2012,7,3.6799999999999997
2012,8,3.19
2012,9,5.64
2012,10,13.53
2012,11,1.92
2012,12,7.7
2013,2,0.33
2013,4,0.02
2013,5,2.01
2013,6,0.23
2013,7,3.4899999999999998
2013,8,6.4
2013,9,6.87
2013,10,8.68
2013,11,7.14
2013,12,3.25
2014,1,0.06
2014,2,0.26
2014,5,0.8400000000000001
2014,6,3.63
2014,7,1.49
2014,8,6.62
2014,9,5.91
2014,10,13.71
2014,11,6.9
2014,12,6.4799999999999995
2015,1,0.16
2015,4,4.47
2015,5,1.18
2015,6,1.9500000000000002
2015,7,4.66
2015,8,6.92
2015,9,2.38
2015,10,6.26
2015,11,46.29
2015,12,21.34
2016,1,0.08
2016,5,9.66
2016,6,4.46
2016,7,2.33
2016,8,2.72
2016,9,10.219999999999999
2016,10,0.22999999999999998
2016,11,2.28
2016,12,15.62
2017,1,0.36
2017,5,0.0
2017,6,1.92
2017,7,7.710000000000001
2017,8,8.4
2017,9,3.06
2017,10,13.24
2017,11,21.08
2017,12,2.21
2018,1,0.28
2018,2,0.04
2018,3,0.02
2018,4,0.0
2018,6,0.59
2018,7,2.25
2018,8,6.08
2018,9,2.92
2018,10,10.07
2018,11,9.450000000000001
2018,12,3.75
2019,1,0.0
2019,2,0.12
2019,3,0.0
2019,4,0.0
2019,6,1.46
2019,7,7.58
2019,8,5.16
2019,9,9.63
2019,10,12.32
2019,11,7.9799999999999995
2019,12,6.5
2020,1,2.5100000000000002
2020,4,0.47
2020,5,0.2
2020,6,0.29000000000000004
2020,7,11.92
2020,8,3.87
2020,9,5.130000000000001
2020,10,5.39
2020,11,20.12
2020,12,8.72
2021,1,8.69
2021,2,0.0
2021,4,1.11
2021,5,0.02
2021,6,3.3200000000000003
2021,7,4.93
2021,8,6.21
2021,9,4.09
2021,10,6.05
2021,11,38.52
2021,12,7.66
2022,1,2.08
2022,2,0.0
2022,3,0.01
2022,5,1.05
2022,6,6.62
2022,7,2.79
2022,8,6.029999999999999
2022,9,0.01
2022,10,6.84
2022,11,17.95
2022,12,11.420000000000002
2023,1,0.23
2023,2,0.01
2023,3,3.35
2023,4,0.14
2023,5,0.02
2023,6,8.81
2023,7,3.7399999999999998
2023,8,12.790000000000001
2023,9,8.98
2023,10,1.82
2023,11,19.009999999999998
2023,12,21.57
2024,1,3.0300000000000002
2024,5,0.51
2024,6,8.15
2024,7,5.75
2024,8,4.89
2024,9,5.71
2024,10,11.2
